age,income,caste,occupation,family_size,citizen_id,scheme_id,scheme_title,eligible
41,179335,general,artisan,5,C00000,PM-Kisan Samman Nidhi,PM-Kisan Samman Nidhi,0
41,179335,general,artisan,5,C00000,Pradhan Mantri Fasal Bima Yojana (PMFBY),Pradhan Mantri Fasal Bima Yojana (PMFBY),0
41,179335,general,artisan,5,C00000,Kisan Credit Card (KCC),Kisan Credit Card (KCC),0
41,179335,general,artisan,5,C00000,Soil Health Card Scheme,Soil Health Card Scheme,0
41,179335,general,artisan,5,C00000,PM Krishi Sinchai Yojana (PMKSY),PM Krishi Sinchai Yojana (PMKSY),0
41,179335,general,artisan,5,C00000,E-NAM (National Agriculture Market),E-NAM (National Agriculture Market),0
41,179335,general,artisan,5,C00000,Paramparagat Krishi Vikas Yojana (PKVY),Paramparagat Krishi Vikas Yojana (PKVY),0
41,179335,general,artisan,5,C00000,PM-KISAN Maandhan Yojana,PM-KISAN Maandhan Yojana,0
41,179335,general,artisan,5,C00000,Agri-Infrastructure Fund,Agri-Infrastructure Fund,0
41,179335,general,artisan,5,C00000,PM Matsya Sampada Yojana,PM Matsya Sampada Yojana,0
41,179335,general,artisan,5,C00000,PM-AASHA,PM-AASHA,0
41,179335,general,artisan,5,C00000,National Food Security Mission,National Food Security Mission,0
41,179335,general,artisan,5,C00000,Micro Irrigation Fund,Micro Irrigation Fund,0
41,179335,general,artisan,5,C00000,Mission for Integrated Development of Horticulture,Mission for Integrated Development of Horticulture,0
41,179335,general,artisan,5,C00000,Kisan Urja Suraksha evam Utthaan Mahabhiyan (PM-KUSUM),Kisan Urja Suraksha evam Utthaan Mahabhiyan (PM-KUSUM),0
41,179335,general,artisan,5,C00000,Raitha Vidyanidhi Scholarship,Raitha Vidyanidhi Scholarship,0
41,179335,general,artisan,5,C00000,Krishi Bhagya,Krishi Bhagya,0
41,179335,general,artisan,5,C00000,Pashu Bhagya,Pashu Bhagya,0
41,179335,general,artisan,5,C00000,Milk Incentive Scheme,Milk Incentive Scheme,0
41,179335,general,artisan,5,C00000,Ganga Kalyana Scheme,Ganga Kalyana Scheme,0
41,179335,general,artisan,5,C00000,Raitha Siri,Raitha Siri,0
41,179335,general,artisan,5,C00000,Krushi Aranya Protsaha Yojane,Krushi Aranya Protsaha Yojane,0
41,179335,general,artisan,5,C00000,Surya Raitha,Surya Raitha,0
41,179335,general,artisan,5,C00000,Raitha Sanjeevini (Accident Insurance),Raitha Sanjeevini (Accident Insurance),0
