age,income,caste,occupation,family_size,PM Garib Kalyan Anna Yojana,PM Ujjwala Yojana,Madilu Kit,Thayi Bhagya,Deendayal Antyodaya Yojana (NULM),National Food Security Act (NFSA),National Social Assistance Programme,PM Awas Yojana - Gramin (PMAY-G),PM-eBus Sewa,PM Suraksha Bima Yojana (PMSBY),PM Jeevan Jyoti Bima Yojana (PMJJBY),National Apprenticeship Promotion Scheme (NAPS),Self Employment Lending (National Corporations),Atal Pension Yojana (APY),KSTDC Tourist Taxi Scheme,One District One Product (ODOP),Agri-Infrastructure Fund,Elevate (Startup Grants for Women/Tier-2),PM MUDRA Yojana (PMMY),PM Formalization of Micro Food Processing Enterprises (PMFME)
41,179335,general,artisan,5,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0
67,185696,sc,farmer,8,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1
15,129174,obc,student,4,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
15,128406,general,student,7,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
32,523821,general,artisan,7,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0
30,196235,st,unemployed,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
34,385610,general,farmer,4,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1
28,431161,obc,farmer,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1
22,64221,general,student,6,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
38,52483,obc,unemployed,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
37,370062,st,artisan,8,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0
31,243659,st,student,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
58,258095,sc,unemployed,7,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0
19,54192,obc,farmer,7,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1
42,371461,st,artisan,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0
44,228117,sc,daily_wage,4,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
22,134572,obc,student,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
31,386226,general,daily_wage,3,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
29,188484,st,farmer,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1
51,119066,sc,farmer,3,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1
38,213790,sc,daily_wage,8,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0
32,273128,st,farmer,7,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1
22,338755,general,unemployed,3,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0
44,261286,general,self_employed,6,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
47,255375,sc,unemployed,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0
48,169241,sc,artisan,7,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0
29,323454,obc,unemployed,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0
13,80022,general,artisan,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
36,151466,obc,farmer,6,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1
21,250406,general,daily_wage,6,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
17,36631,general,student,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
33,258331,sc,self_employed,8,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
31,250447,sc,self_employed,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
8,103591,sc,student,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
36,99723,obc,daily_wage,6,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0
54,454266,sc,artisan,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0
28,82447,general,artisan,4,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0
25,73664,obc,unemployed,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
23,318350,obc,unemployed,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0
20,441317,st,student,7,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
47,149667,sc,self_employed,2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
42,202026,obc,artisan,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0
39,243022,sc,artisan,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0
51,282338,obc,farmer,6,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1
56,237144,sc,farmer,6,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1
46,82890,sc,self_employed,3,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
27,319929,obc,farmer,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1
14,196107,sc,unemployed,8,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0
22,93449,st,student,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
36,295783,st,self_employed,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
19,357464,sc,student,6,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
23,147586,obc,student,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
41,206574,sc,artisan,4,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0
31,31417,st,artisan,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0
30,282636,st,unemployed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
32,168167,obc,daily_wage,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0
13,130592,st,student,7,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
58,94610,general,farmer,8,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
54,411703,obc,farmer,5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
23,35723,obc,artisan,8,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0
34,367767,st,artisan,5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0
